epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,425.424,3.98272,0.37297,0.67653,2.52939,0.0681595,0.00315675,0.00315675
2,854.141,2.62215,0.49614,0.77119,1.97623,0.0356444,0.00569436,0.00569436
